ID;Usia;Jenis_Kelamin;Status_Pernikahan;Pendidikan;Jumlah_Anak;Wilayah;Jenis_Pekerjaan;Lama_Bekerja_Tahun;Pendapatan_Bulanan;Pengeluaran_Bulanan;Nilai_Aset;Hutang_Existing;Kepemilikan_Rumah;Riwayat_Kredit;Skor_Kesehatan_Keuangan;Jumlah_Rekening;Tujuan_Pinjaman;Jumlah_Pinjaman;Tenor_Bulan;Layak_Kredit
160;53;Perempuan;Lajang;SMA;4;Jawa;Swasta;30;10525394;6471563;241548734;130480210;Milik Sendiri;Buruk;576;4;Konsumtif;114555072;60;Tidak Layak
161;19;Laki-laki;Menikah;SMA;3;Sumatera;Swasta;11;10485506;5023955;121170312;60439235;Sewa;Baik;390;3;Renovasi Rumah;118863196;36;Layak
162;19;Perempuan;Menikah;SMA;1;Bali;Swasta;23;;4511499;764512559;125751390;Milik Sendiri;Baik;348;3;Modal Usaha;93831044;36;Layak
163;22;Laki-laki;Menikah;D3;2;Jawa;Freelance;34;10970591;5452034;157473015;;Milik Sendiri;Tidak Ada Riwayat;355;2;Investasi;52341745;84;Tidak Layak
164;31;Laki-laki;Menikah;S2;0;Kalimantan;Tidak Bekerja;0;238913;500000;250345168;71529467;Milik Sendiri;Baik;391;4;Pendidikan;89790350;48;Tidak Layak
165;49;Perempuan;Lajang;S1;4;Jawa;PNS;23;9725188;10801846;120048311;109001486;Sewa;Buruk;551;1;Renovasi Rumah;155593266;12;Tidak Layak
166;29;Perempuan;Menikah;SD;4;Jawa;Swasta;8;1920815;1324876;482714714;87695309;Menumpang;Cukup;595;3;Modal Usaha;168082689;36;Tidak Layak
167;62;Laki-laki;Lajang;SMA;0;Kalimantan;Swasta;10;13377591;12689782;547558240;28575555;Milik Sendiri;Baik;313;2;Renovasi Rumah;124358970;36;Layak
168;30;Laki-laki;Lajang;SMA;4;Sumatera;Tidak Bekerja;0;416248;500000;796647623;;Sewa;Tidak Ada Riwayat;595;3;Renovasi Rumah;161411628;48;Tidak Layak
169;40;Laki-laki;Menikah;SMA;2;Kalimantan;Swasta;27;7246615;2831461;557663721;142494568;Menumpang;Buruk;817;3;Kesehatan;116657333;60;Tidak Layak
170;25;Laki-laki;Cerai;SMA;1;Sumatera;Swasta;20;10841335;11594010;755981861;88495496;Milik Sendiri;Buruk;664;1;Renovasi Rumah;152437925;84;Layak
171;58;Perempuan;Menikah;SMP;5;Kalimantan;Swasta;24;10582056;7885643;17771720;3366499;Milik Sendiri;Cukup;333;4;Renovasi Rumah;190726706;48;Layak
172;30;Perempuan;Lajang;S1;0;Kalimantan;Wirausaha;33;8205212;2466982;521930743;65374059;Sewa;Baik;318;5;Investasi;130137795;48;Layak
173;35;L;Menikah;S1;1;Jawa;Tidak Bekerja;;180384;500000;;136096852;Kontrak;Baik;811;2;Pendidikan;73466645;24;Layak
174;29;Laki-laki;Menikah;SMA;1;Sulawesi;PNS;10;10166270;7367739;204937175;41782122;Sewa;Cukup;681;5;Kesehatan;84194924;48;Layak
175;38;Laki-laki;Menikah;SMA;1;Kalimantan;PNS;17;11682233;12470783;524921985;103386567;Menumpang;Tidak Ada Riwayat;745;5;Modal Usaha;36302085;12;Layak
176;54;Perempuan;Lajang;S1;3;Bali;Swasta;19;2473647;2044636;351599947;139715811;Menumpang;Baik;301;3;Kesehatan;115273359;84;Layak
177;33;Perempuan;Lajang;SMP;4;Kalimantan;Swasta;16;13048073;4777499;439065941;83117621;Milik Sendiri;Buruk;500;2;Investasi;33954086;36;Tidak Layak
178;43;Perempuan;Menikah;S1;5;Kalimantan;Wirausaha;5;9794949;5906141;84658071;76350200;Milik Sendiri;Tidak Ada Riwayat;673;1;Kesehatan;16833077;60;Tidak Layak
179;28;Perempuan;Menikah;S1;4;Sumatera;Swasta;7;5194576;3178125;246673597;51323085;Milik Sendiri;Cukup;765;5;Modal Usaha;148041152;84;Tidak Layak
180;62;Perempuan;Menikah;SMA;1;Jawa;Swasta;4;12876197;14920253;673096718;141103984;Milik Sendiri;Buruk;806;2;Pendidikan;26842919;24;Layak
181;48;Perempuan;Lajang;SMA;4;Bali;Wirausaha;18;11215585;4979051;293443084;114218964;Kontrak;Baik;460;2;Investasi;110844561;12;Layak
182;61;Laki-laki;Menikah;SD;4;Jawa;Swasta;34;7384650;7995993;714188337;112165043;Sewa;Baik;596;4;Pendidikan;101387626;60;Layak
183;52;Perempuan;Lajang;SMA;4;Kalimantan;Freelance;4;12325964;8341103;531828067;74656601;Sewa;Buruk;753;4;Konsumtif;7718637;84;Layak
184;37;Laki-laki;Menikah;SMA;5;Kalimantan;Freelance;10;14244649;4929906;470560514;30643519;Milik Sendiri;Tidak Ada Riwayat;705;3;Modal Usaha;180859022;48;Layak
185;59;Perempuan;Lajang;S1;5;Jawa;Freelance;8;4242254;4107731;264442220;110789934;Milik Sendiri;Cukup;644;1;Renovasi Rumah;152990778;48;Tidak Layak
186;59;Laki-laki;Cerai;SMA;5;Bali;PNS;33;;9196500;;25485805;Sewa;Cukup;388;5;Kesehatan;151081296;84;Layak
187;27;Laki-laki;Lajang;SMA;2;Sulawesi;PNS;15;13637587;14831343;423205291;97750838;Kontrak;Cukup;364;1;Konsumtif;51288707;36;Layak
188;57;Perempuan;Menikah;S2;1;Sumatera;Swasta;16;14165621;5039358;680064302;120784159;Sewa;Cukup;818;1;Kesehatan;51367502;48;Layak
189;22;Perempuan;Menikah;SD;1;Sumatera;PNS;17;9105176;4325459;735768273;13858877;Sewa;Baik;651;1;Modal Usaha;163943314;48;Layak
190;57;Perempuan;Menikah;SMP;1;Kalimantan;PNS;16;6423267;4302737;151746200;129283215;Milik Sendiri;Cukup;666;2;Renovasi Rumah;175544155;24;Tidak Layak
191;19;Laki-laki;Menikah;SMA;0;Jawa;Tidak Bekerja;;239859;500000;498437893;42304949;Milik Sendiri;Baik;369;2;Renovasi Rumah;184768828;84;Layak
192;22;Perempuan;Menikah;D3;0;Jawa;Freelance;2;6787888;2507660;498846109;65814669;Kontrak;Buruk;508;1;Pendidikan;8620535;12;Tidak Layak
193;60;Perempuan;Lajang;S1;5;Sumatera;Tidak Bekerja;;384617;500000;614743808;43556733;Milik Sendiri;Cukup;;5;Modal Usaha;114929184;48;Tidak Layak
194;55;Perempuan;Lajang;SMA;0;Sumatera;Freelance;8;6289013;4473686;188344684;39207650;Sewa;Baik;563;2;Renovasi Rumah;126516637;84;Layak
195;52;Laki-laki;Menikah;SMA;3;Sulawesi;Wirausaha;18;14704699;13395386;420279701;3021405;Milik Sendiri;Cukup;628;5;Investasi;186479330;12;Layak
196;30;Perempuan;Lajang;S1;3;Jawa;Swasta;20;7342156;4875934;300353269;135391207;Kontrak;Buruk;387;4;Investasi;102154615;36;Tidak Layak
197;42;Perempuan;Menikah;SMA;3;Kalimantan;Wirausaha;6;8687840;2995460;146940522;138051676;Sewa;Cukup;759;4;Renovasi Rumah;188407291;48;Tidak Layak
198;52;Laki-laki;Cerai;SMA;2;Sumatera;Swasta;12;4148770;3108750;43693985;137848194;Milik Sendiri;Baik;523;5;Renovasi Rumah;189946591;36;Tidak Layak
199;25;Perempuan;Lajang;SMA;3;Sulawesi;Swasta;2;10484310;9174664;526834209;51125809;Menumpang;Cukup;575;2;Modal Usaha;32135448;84;Layak
200;56;Laki-laki;Menikah;SMA;1;NTT/NTB;Swasta;13;10195367;11898012;125466574;8992526;Kontrak;Buruk;;2;Kesehatan;32008328;60;Tidak Layak
201;54;Laki-laki;Menikah;S1;3;Jawa;Wirausaha;16;5509412;4859853;402450771;59620426;Kontrak;Buruk;511;5;Konsumtif;31395701;12;Tidak Layak
202;40;Laki-laki;Lajang;S1;2;Kalimantan;PNS;10;12075042;5046445;735095967;115216177;Milik Sendiri;Baik;557;1;Konsumtif;144026537;24;Layak
203;36;Perempuan;Menikah;S1;0;Jawa;Tidak Bekerja;0;456070;500000;5117955;38317026;Menumpang;Baik;711;5;Renovasi Rumah;150470131;60;Tidak Layak
204;36;Laki-laki;Lajang;SMA;5;Sumatera;Wirausaha;27;5508866;3325694;681848011;;Milik Sendiri;Tidak Ada Riwayat;690;2;Renovasi Rumah;16423671;24;Layak
205;51;Perempuan;Lajang;S1;0;Kalimantan;Swasta;28;5425226;4520221;656343874;35563332;Menumpang;Cukup;379;5;Investasi;157101185;84;Layak
206;24;Perempuan;Menikah;S1;2;Kalimantan;Swasta;1;3198175;961454;148091488;;Milik Sendiri;Tidak Ada Riwayat;746;4;Pendidikan;22324678;60;Tidak Layak
207;50;Laki-laki;Menikah;SMA;1;Jawa;Tidak Bekerja;;127422;500000;392075882;61168497;Milik Sendiri;Baik;483;3;Modal Usaha;21847373;36;Layak
208;22;Perempuan;Menikah;S1;0;Sumatera;Swasta;4;13515265;14773821;11800037;26275565;Sewa;Cukup;391;2;Kesehatan;36856214;24;Layak
209;42;Laki-laki;Menikah;S1;2;Jawa;PNS;8;12162600;9152870;377851628;11108911;Menumpang;Baik;396;2;Renovasi Rumah;137055416;12;Layak
210;49;Perempuan;Menikah;SMA;4;Jawa;Swasta;29;4924182;1897423;570656726;95528802;Sewa;Cukup;483;4;Kesehatan;66551362;60;Tidak Layak
211;23;Perempuan;Menikah;SMA;4;Jawa;Swasta;5;9486139;7278912;338512339;89825712;Menumpang;Baik;725;3;Konsumtif;35748231;60;Layak
212;46;Perempuan;Lajang;SMA;3;Jawa;Wirausaha;21;13953706;11140938;425774490;136064690;Menumpang;Buruk;433;3;Modal Usaha;141755933;12;Tidak Layak
213;32;Laki-laki;Menikah;SMA;2;Jawa;Freelance;12;8816220;3270175;578372098;148090697;Milik Sendiri;Baik;752;4;Renovasi Rumah;47119443;48;Layak
214;47;Perempuan;Lajang;S1;1;Jawa;Freelance;22;8025838;8559778;732113444;76437372;Milik Sendiri;Buruk;545;1;Renovasi Rumah;121373028;48;Tidak Layak
215;39;Laki-laki;Lajang;SMA;2;Kalimantan;PNS;23;6504726;4640562;528498449;145036689;Milik Sendiri;Cukup;586;1;Investasi;78945248;60;Layak
216;28;Laki-laki;Menikah;SMA;2;Jawa;Freelance;24;4523398;1874712;153061895;88449052;Menumpang;Cukup;790;2;Modal Usaha;108730250;24;Tidak Layak
217;23;Laki-laki;Menikah;SMA;4;Sumatera;PNS;3;;4325425;234063856;44293494;Milik Sendiri;Buruk;455;2;Pendidikan;46512117;24;Tidak Layak
218;23;Perempuan;Cerai;D3;4;Jawa;Tidak Bekerja;0;104781;500000;594158974;94290135;Sewa;Cukup;302;2;Investasi;181030425;36;Tidak Layak
219;30;Perempuan;Lajang;SMP;1;Kalimantan;Swasta;24;;3321090;19669362;77798452;Milik Sendiri;Baik;371;5;Modal Usaha;176386238;24;Layak
220;54;Laki-laki;Menikah;SMA;0;Sulawesi;Wirausaha;8;4889322;3641599;481557028;112104238;Milik Sendiri;Cukup;731;1;Renovasi Rumah;102697781;24;Layak
221;50;Laki-laki;Lajang;S1;0;Jawa;Swasta;3;17428891;17458030;255303221;39985338;Kontrak;Tidak Ada Riwayat;355;2;Renovasi Rumah;15274889;12;Layak
222;22;Laki-laki;Menikah;D3;5;Jawa;Freelance;13;6657489;2713121;426656983;86128427;Menumpang;Baik;678;5;Modal Usaha;33286850;12;Layak
223;29;Perempuan;Lajang;SMP;4;Kalimantan;Swasta;5;12198929;6606514;586191620;65390910;Milik Sendiri;Buruk;713;4;Modal Usaha;72316293;48;Layak
224;18;Laki-laki;Lajang;SMA;1;Jawa;Swasta;3;2190189;1711815;275946820;53930729;Menumpang;Cukup;640;1;Renovasi Rumah;59424239;36;Tidak Layak
225;48;Perempuan;Lajang;SMA;3;Jawa;Wirausaha;30;8353321;6570049;605203527;;Sewa;Tidak Ada Riwayat;405;1;Renovasi Rumah;196689853;84;Tidak Layak
226;51;Perempuan;Duda/Janda;D3;5;Jawa;Wirausaha;2;6929866;4378758;222428188;;Milik Sendiri;Tidak Ada Riwayat;358;1;Modal Usaha;183214154;36;Tidak Layak
227;40;Perempuan;Menikah;S1;1;Sumatera;Wirausaha;24;7314105;8750464;467872960;127096601;Milik Sendiri;Cukup;313;3;Renovasi Rumah;68818067;24;Tidak Layak
228;36;Perempuan;Menikah;D3;1;Sumatera;Tidak Bekerja;;450711;500000;193574079;102645654;Sewa;Cukup;545;4;Renovasi Rumah;141424432;24;Tidak Layak
229;23;Perempuan;Menikah;SD;1;Jawa;Swasta;2;12576516;3864371;706047523;121108904;Milik Sendiri;Baik;706;5;Modal Usaha;10082946;60;Layak
230;55;Perempuan;Menikah;D3;1;Jawa;Freelance;5;7949095;3449464;577878914;129709953;Sewa;Buruk;604;1;Renovasi Rumah;121903689;60;Tidak Layak
231;35;L;Lajang;S1;4;Sumatera;PNS;25;3135427;2564386;167341271;41358788;Kontrak;Cukup;838;1;Modal Usaha;108983267;12;Tidak Layak
232;64;Perempuan;Lajang;SMA;4;Kalimantan;PNS;8;;11893226;411207639;93143147;Sewa;Baik;640;4;Investasi;94331926;12;Layak
233;48;Laki-laki;Menikah;SMA;4;Jawa;Freelance;11;12605869;9777225;5521448;121466696;Kontrak;Cukup;;4;Pendidikan;68285645;24;Tidak Layak
234;34;Laki-laki;Cerai;D3;2;Kalimantan;PNS;15;10808008;6267655;783100505;68874894;Kontrak;Baik;516;4;Pendidikan;60857342;12;Layak
235;29;Perempuan;Lajang;SD;2;Jawa;PNS;9;6616921;5167966;5322997;15869030;Milik Sendiri;Baik;486;2;Konsumtif;12527795;12;Layak
236;38;Perempuan;Lajang;S1;4;Jawa;Wirausaha;5;11106285;7818159;281357999;117982065;Milik Sendiri;Baik;373;2;Modal Usaha;124642312;24;Layak
237;53;Perempuan;Menikah;SMA;2;Sulawesi;Wirausaha;27;8173584;6802981;453616702;19712277;Menumpang;Buruk;490;4;Konsumtif;151049224;48;Layak
238;20;Perempuan;Lajang;SMA;1;Kalimantan;Swasta;23;14368148;8668265;60753737;146785506;Milik Sendiri;Buruk;311;5;Renovasi Rumah;123301296;36;Tidak Layak
239;24;Perempuan;Lajang;S1;5;NTT/NTB;Tidak Bekerja;0;129355;500000;455061170;;Milik Sendiri;Tidak Ada Riwayat;652;3;Modal Usaha;60239482;24;Tidak Layak
240;55;Laki-laki;Lajang;SMP;0;Sumatera;Swasta;2;17444223;7075049;96603116;;Menumpang;Tidak Ada Riwayat;609;2;Modal Usaha;21751725;60;Tidak Layak
241;56;Laki-laki;Lajang;SMA;1;Kalimantan;Freelance;25;5367348;6069956;571289693;117116480;Milik Sendiri;Cukup;665;3;Kesehatan;174201276;12;Layak
242;41;Perempuan;Duda/Janda;SMA;3;Jawa;PNS;27;10197523;11897063;260769152;;Milik Sendiri;Tidak Ada Riwayat;418;1;Pendidikan;13586714;12;Tidak Layak
243;56;Perempuan;Lajang;S2;1;JAWA;Wirausaha;9;7471062;5100704;259796531;144687698;Sewa;Buruk;621;4;Investasi;136879383;24;Tidak Layak
244;28;Perempuan;Menikah;SMP;3;Bali;PNS;31;4506918;2423781;314219665;14523690;Milik Sendiri;Baik;801;1;Modal Usaha;187574604;60;Layak
245;32;Perempuan;Lajang;SMA;3;Sumatera;Swasta;11;5979228;2194003;42155679;19958240;Milik Sendiri;Baik;649;2;Renovasi Rumah;37449839;60;Layak
246;61;Perempuan;Lajang;SMA;0;Sumatera;Freelance;1;9426132;3879275;433738770;77644992;Menumpang;Cukup;;2;Renovasi Rumah;51002535;12;Tidak Layak
247;61;Perempuan;Lajang;S1;1;Jawa;Wirausaha;2;12443769;4551100;485714870;23404732;Milik Sendiri;Buruk;808;3;Renovasi Rumah;28460443;24;Layak
248;32;Perempuan;Menikah;D3;5;Kalimantan;PNS;9;11559946;12067898;312418599;141348523;Sewa;Baik;482;2;Konsumtif;103586644;36;Layak
249;47;Laki-laki;Menikah;S1;5;Jawa;Wirausaha;11;13916721;13993067;56871314;22660571;Milik Sendiri;Cukup;517;2;Modal Usaha;76219757;36;Layak
250;32;Perempuan;Duda/Janda;S2;0;Sumatera;Tidak Bekerja;0;491643;514696;684095350;112988499;Menumpang;Baik;367;1;Konsumtif;161978024;60;Layak
251;44;Laki-laki;Menikah;S1;0;Sumatera;Wirausaha;13;10681495;6551457;214371106;114934435;Kontrak;Cukup;330;2;Investasi;44299858;48;Tidak Layak
252;18;Laki-laki;Menikah;D3;5;NTT/NTB;Swasta;7;15620702;7965666;691368690;18098119;Kontrak;Cukup;486;5;Investasi;86864150;12;Layak
253;39;Perempuan;Duda/Janda;SMA;4;Jawa;Freelance;19;9641855;8144520;220445982;129896836;Milik Sendiri;Cukup;795;3;Renovasi Rumah;56588064;24;Tidak Layak
254;32;Laki-laki;Duda/Janda;SD;4;Jawa;Wirausaha;34;16919287;11457804;359934360;32056071;Sewa;Baik;313;3;Pendidikan;142366582;12;Layak
255;63;Perempuan;Lajang;D3;3;NTT/NTB;Swasta;8;17324323;15786091;760810099;115025492;Kontrak;Cukup;613;5;Kesehatan;15775098;36;Layak
256;29;Laki-laki;Menikah;SMA;4;Sumatera;Wirausaha;2;3707215;1467408;489194650;137102243;Sewa;Cukup;652;1;Pendidikan;91978883;12;Tidak Layak
257;21;Laki-laki;Menikah;SMA;1;Kalimantan;Swasta;4;3574764;2488393;475947007;121222559;Milik Sendiri;Baik;605;4;Investasi;122677884;84;Layak
258;31;Perempuan;Menikah;SMA;3;Sulawesi;Wirausaha;18;16788461;6954341;239894053;88218343;Sewa;Baik;420;2;Pendidikan;104054885;84;Layak
259;59;Laki-laki;Menikah;S2;5;Sumatera;Freelance;8;11925431;10025450;13725602;54677374;Milik Sendiri;Buruk;707;2;Renovasi Rumah;139324473;36;Tidak Layak
260;31;Perempuan;Lajang;S2;3;Jawa;Tidak Bekerja;0;400924;500000;297675091;116415053;Sewa;Buruk;390;2;Pendidikan;134087283;12;Tidak Layak
261;31;Laki-laki;Menikah;S1;0;Kalimantan;Swasta;24;2195268;1544554;747709518;40847986;Kontrak;Baik;683;1;Modal Usaha;18602449;12;Layak
262;55;Laki-laki;Menikah;S1;0;Kalimantan;Freelance;15;16517521;18297449;160767500;71580070;Milik Sendiri;Buruk;681;1;Konsumtif;68192400;48;Layak
263;30;Laki-laki;Lajang;SMA;4;Sumatera;Freelance;8;2611137;2368489;343436320;42347645;Sewa;Cukup;562;4;Renovasi Rumah;66470762;60;Tidak Layak
264;57;Perempuan;Lajang;S1;3;Sumatera;Wirausaha;7;3358314;1614096;724169241;97966222;Sewa;Baik;479;4;Renovasi Rumah;45477452;24;Layak
265;19;Perempuan;Menikah;S1;5;Jawa;Tidak Bekerja;0;123544;500000;86073173;1423376;Milik Sendiri;Baik;552;2;Kesehatan;40357177;36;Tidak Layak
266;36;Laki-laki;Lajang;S1;5;Jawa;Swasta;31;1517180;758329;271327233;107963810;Kontrak;Cukup;410;2;Konsumtif;112336694;24;Tidak Layak
267;57;Perempuan;Menikah;S1;5;Kalimantan;Tidak Bekerja;;444811;500000;25525200;105731038;Sewa;Baik;570;2;Modal Usaha;110904046;12;Tidak Layak
268;55;Perempuan;Menikah;D3;4;Jawa;PNS;3;8648736;6179111;702328954;70477798;Milik Sendiri;Baik;656;3;Pendidikan;195510249;24;Layak
269;49;Perempuan;Lajang;D3;4;Sumatera;Wirausaha;12;12658365;14665222;29705172;51069685;Milik Sendiri;Cukup;425;3;Modal Usaha;76568479;24;Tidak Layak
270;29;Perempuan;Menikah;S1;2;Sulawesi;Wirausaha;8;4959951;5733084;244629;64095218;Milik Sendiri;Baik;800;5;Konsumtif;193015599;60;Layak
271;30;Laki-laki;Lajang;S1;5;Sumatera;Swasta;8;4226821;3120153;68228857;91567735;Sewa;Buruk;467;3;Modal Usaha;64124860;24;Tidak Layak
272;41;Perempuan;Menikah;SMP;2;Jawa;Swasta;24;11184579;5973813;774897467;;Milik Sendiri;Tidak Ada Riwayat;620;1;Pendidikan;41782003;60;Layak
273;25;Laki-laki;Lajang;SD;3;Sumatera;Wirausaha;17;9266482;5779198;494001276;88218394;Milik Sendiri;Baik;777;1;Modal Usaha;21940172;24;Layak
274;25;Perempuan;Lajang;S1;0;Sumatera;Freelance;27;2981544;1343611;490052247;15927649;Sewa;Baik;646;3;Renovasi Rumah;105233201;24;Layak
275;29;Perempuan;Menikah;S1;5;Jawa;Wirausaha;7;11863301;12384136;83983216;147231542;Sewa;Baik;383;2;Modal Usaha;193019427;84;Layak
276;23;Laki-laki;Lajang;S1;1;Jawa;PNS;27;14944683;15485631;181972604;143807103;Sewa;Baik;801;4;Kesehatan;149586167;84;Layak
277;45;Perempuan;Menikah;SMP;0;Jawa;Wirausaha;12;2128452;1749401;30524357;67533182;Sewa;Baik;827;4;Renovasi Rumah;151498376;36;Layak
278;35;Laki-laki;Menikah;S1;0;Bali;Swasta;28;;4056384;145889881;44948137;Sewa;Baik;481;3;Renovasi Rumah;105054978;60;Layak
279;37;L;Duda/Janda;SD;2;Sulawesi;Swasta;19;16257812;18778098;311219714;27956834;Milik Sendiri;Baik;563;5;Pendidikan;43009070;60;Layak
280;57;Laki-laki;Cerai;SMA;3;Jawa;Wirausaha;29;9591463;4948339;125583328;29809275;Sewa;Tidak Ada Riwayat;610;4;Investasi;30708823;24;Tidak Layak
281;33;Perempuan;Cerai;SMP;3;Sumatera;Swasta;1;12398207;9352442;321164638;45430294;Milik Sendiri;Tidak Ada Riwayat;803;3;Kesehatan;87222959;84;Tidak Layak
282;18;Laki-laki;Lajang;SMP;0;Jawa;Swasta;16;7718349;6480915;540632360;42749094;Kontrak;Baik;823;3;Kesehatan;13100903;36;Layak
283;57;Laki-laki;Lajang;SMA;5;Sulawesi;Swasta;29;3132802;2709191;467316916;6107281;Milik Sendiri;Baik;375;3;Konsumtif;84810246;12;Layak
284;30;Perempuan;Lajang;S1;2;Jawa;Swasta;32;5138227;1774756;299202727;130487520;Milik Sendiri;Cukup;766;4;Renovasi Rumah;97158995;36;Tidak Layak
285;59;Perempuan;Lajang;SMP;5;Bali;PNS;32;14928928;15314093;496477549;65661239;Kontrak;Baik;309;2;Modal Usaha;123906283;48;Layak
286;18;Laki-laki;Menikah;S2;1;Kalimantan;Swasta;34;2567479;2190126;356034663;;Menumpang;Tidak Ada Riwayat;684;4;Renovasi Rumah;170284550;12;Tidak Layak
287;20;Laki-laki;Menikah;D3;4;Jawa;Swasta;1;5620133;1751256;348712458;85157643;Kontrak;Baik;770;1;Kesehatan;92156138;24;Layak
288;42;Perempuan;Menikah;SMP;2;Bali;Swasta;29;;12568451;364951326;144369337;Milik Sendiri;Cukup;485;3;Kesehatan;155021797;36;Layak
289;27;Perempuan;Lajang;SD;0;Jawa;PNS;5;13278641;13432280;174657804;102182242;Milik Sendiri;Buruk;606;4;Modal Usaha;50190450;24;Tidak Layak
290;52;Perempuan;Menikah;S1;0;Sumatera;Freelance;2;9679502;2989832;90693410;21832065;Kontrak;Baik;558;1;Modal Usaha;181526707;48;Layak
291;53;Laki-laki;Menikah;S1;4;Jawa;PNS;31;5724451;3318107;621053098;600012;Kontrak;Cukup;414;1;Renovasi Rumah;56402425;12;Layak
292;35;Perempuan;Duda/Janda;SD;2;NTT/NTB;Freelance;5;8059687;7338240;744332014;54720009;Milik Sendiri;Cukup;667;4;Renovasi Rumah;92682570;84;Layak
293;26;Laki-laki;Menikah;SMA;1;Sulawesi;Swasta;7;15048428;13622301;593694347;83622534;Sewa;Baik;605;5;Pendidikan;67303174;84;Layak
294;63;Perempuan;Lajang;SMA;0;Sumatera;Swasta;13;5597975;4154053;716665946;1785278;Sewa;Baik;481;3;Modal Usaha;15115062;48;Layak
295;47;Perempuan;Lajang;SMA;4;Sumatera;PNS;7;4796264;3996102;569436906;;Milik Sendiri;Tidak Ada Riwayat;452;5;Konsumtif;52063514;36;Tidak Layak
296;59;Laki-laki;Duda/Janda;D3;1;Jawa;PNS;19;9468186;7174680;664700978;732631;Milik Sendiri;Buruk;;2;Modal Usaha;143893823;12;Layak
297;55;Perempuan;Lajang;D3;2;Bali;Wirausaha;17;4134974;2995431;787671164;91754461;Kontrak;Cukup;312;1;Renovasi Rumah;60396251;12;Layak
298;33;Perempuan;Menikah;S1;5;Jawa;Wirausaha;7;10857609;5626498;261692170;97963082;Kontrak;Cukup;420;3;Kesehatan;113857842;36;Tidak Layak
299;62;Perempuan;Menikah;S1;2;Sulawesi;Swasta;3;7560364;5484456;576096938;145488219;Kontrak;Cukup;328;5;Konsumtif;17742080;36;Tidak Layak
300;21;Perempuan;Lajang;S1;2;Sumatera;Freelance;21;10900131;8858719;626512849;;Menumpang;Tidak Ada Riwayat;368;1;Renovasi Rumah;171552935;60;Tidak Layak
301;60;Perempuan;Menikah;SMA;4;Sumatera;Wirausaha;17;7448105;8509176;766651291;62929227;Kontrak;Baik;;1;Pendidikan;184940512;36;Layak
302;30;Laki-laki;Menikah;SMP;0;Jawa;Tidak Bekerja;0;98561;500000;115691134;125558512;Kontrak;Baik;347;4;Modal Usaha;145189841;12;Tidak Layak
303;29;Laki-laki;Cerai;S1;3;Sumatera;PNS;11;4232666;2156748;377892351;84332733;Milik Sendiri;Cukup;781;4;Modal Usaha;198587962;24;Tidak Layak
304;24;Laki-laki;Menikah;D3;4;Jawa;Tidak Bekerja;;27795;500000;391376265;143231419;Milik Sendiri;Baik;376;1;Kesehatan;43846570;24;Layak
305;59;Perempuan;Lajang;D3;0;Sumatera;Swasta;12;16014704;10875490;140633502;2964701;Milik Sendiri;Cukup;457;3;Konsumtif;69620190;48;Layak
306;56;Perempuan;Cerai;S1;0;Jawa;Swasta;12;6731631;5348816;;52590574;Milik Sendiri;Cukup;787;3;Renovasi Rumah;168531081;60;Layak
307;47;Laki-laki;Menikah;S1;2;Jawa;Swasta;25;13096448;8718042;351872853;65481090;Milik Sendiri;Cukup;486;4;Modal Usaha;190485138;24;Layak
308;52;Laki-laki;Menikah;SMA;0;Sumatera;Swasta;14;5997434;3611093;37925059;88431628;Kontrak;Baik;685;3;Konsumtif;124653227;24;Tidak Layak
309;63;Laki-laki;Menikah;D3;0;Jawa;Swasta;27;17521294;15185240;592901434;39467045;Sewa;Baik;464;3;Konsumtif;58767082;36;Layak
310;22;Perempuan;Cerai;D3;4;Jawa;Swasta;14;13404477;8920169;417409256;69998192;Kontrak;Cukup;575;5;Renovasi Rumah;183658981;60;Layak
311;37;Laki-laki;Lajang;S1;1;Sulawesi;Swasta;11;4505204;3769089;627227015;34221915;Milik Sendiri;Cukup;672;5;Renovasi Rumah;110293129;48;Layak
312;58;Laki-laki;Lajang;D3;5;Sumatera;Swasta;26;15854568;11532925;163453504;61572561;Milik Sendiri;Cukup;485;4;Investasi;35573429;84;Layak
313;32;Perempuan;Menikah;S1;5;Jawa;Swasta;18;11303089;6548909;220009178;12160798;Milik Sendiri;Cukup;565;1;Modal Usaha;56828600;36;Layak
314;27;Perempuan;Menikah;SMA;1;Sumatera;Wirausaha;7;4013893;2029317;417820115;13032888;Kontrak;Tidak Ada Riwayat;623;5;Investasi;148293715;48;Tidak Layak
315;19;Perempuan;Cerai;SMA;1;Jawa;Wirausaha;13;1938452927;2168246;348525712;140972224;Milik Sendiri;Cukup;;5;Konsumtif;75163671;84;Layak
316;18;Laki-laki;Menikah;SMA;5;Sumatera;Tidak Bekerja;0;239438;500000;417652290;14808635;Milik Sendiri;Buruk;621;4;Modal Usaha;179664341;60;Tidak Layak
317;27;Laki-laki;Menikah;S1;1;Sumatera;Swasta;13;16766743;8664685;346773119;54830849;Milik Sendiri;Buruk;773;5;Renovasi Rumah;28447333;12;Layak
318;22;Laki-laki;Menikah;D3;1;Jawa;Swasta;25;14961954;7266183;497443728;129290873;Kontrak;Baik;671;4;Kesehatan;157790068;60;Layak
319;57;Perempuan;Lajang;SD;0;Bali;Swasta;8;;3585566;594215841;93559642;Milik Sendiri;Cukup;619;3;Pendidikan;113918561;36;Tidak Layak
